1|2|käytössä|230.0|95.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
2|2|käytössä|29.0|120.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
3|2|käytössä|96.0|115.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
4|2|käytössä|16.0|12.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
5|3|käytössä|134.0|119.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
6|3|käytössä|33.0|101.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
7|3|käytössä|109.0|71.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
8|3|käytössä|244.0|111.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
9|3|käytössä|150.0|141.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
10|4|käytössä|195.0|128.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
11|4|käytössä|68.0|93.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
12|4|käytössä|193.0|25.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
13|1|käytössä|144.0|43.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
14|1|käytössä|251.0|130.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
15|1|käytössä|241.0|130.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
16|7|käytössä|183.0|78.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
17|7|käytössä|13.0|100.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
18|7|käytössä|33.0|84.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
19|7|käytössä|171.0|69.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
20|7|käytössä|216.0|16.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
21|7|käytössä|150.0|142.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
22|7|käytössä|32.0|136.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
23|7|käytössä|211.0|122.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
24|7|käytössä|159.0|78.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
25|7|käytössä|130.0|41.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
26|7|käytössä|46.0|47.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
27|7|käytössä|82.0|130.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
28|7|käytössä|261.0|34.0|13.3.9999|irtaimisto on vakuutettu|kerrostalo|100.0
